YearMonth,Category,Total_Sales,Total_Profit,Total_Quantity,Num_Orders
2017-03,Technology,33431,11037,205,44
2017-04,Furniture,9064,203,175,37
2017-04,Office Supplies,15079,3370,468,89
2017-04,Technology,12383,-2639,90,25
2017-05,Furniture,16955,-73,184,44
2017-05,Office Supplies,13737,3151,544,91
2017-05,Technology,13566,3264,159,38
2017-06,Furniture,19008,907,176,43
2017-06,Office Supplies,16911,3381,566,103
2017-06,Technology,17063,3938,189,38
2017-07,Furniture,11812,326,183,45
2017-07,Office Supplies,10242,2560,459,75
2017-07,Technology,23213,4065,198,43
2017-08,Furniture,15443,319,127,30
2017-08,Office Supplies,30068,6064,613,89
2017-08,Technology,17620,2651,144,32
2017-09,Furniture,29028,1547,302,67
2017-09,Office Supplies,31908,4848,1046,179
2017-09,Technology,26950,4592,312,72
2017-10,Furniture,21883,-2529,252,56
2017-10,Office Supplies,23044,4039,652,112
2017-10,Technology,32859,7762,229,47
2017-11,Furniture,37056,409,364,85
2017-11,Office Supplies,31475,3606,1093,180
2017-11,Technology,49925,5676,383,79
2017-12,Furniture,31412,1147,394,84
2017-12,Office Supplies,30434,1776,1061,171
2017-12,Technology,21984,5564,268,63
